ベンダ,GRAPHTEC Corporation,,,,,,,,,,,,,
モデル,GL240,,,,,,,,,,,,,
ファームウェア,Ver1.54,,,,,,,,,,,,,
ソフトウェア," ""Ver1.25""",,,,,,,,,,,,,
最大CH数,10CH,,,,,,,,,,,,,
GS開始CH,,,,,,,,,,,,,,
WL開始CH,10CH,,,,,,,,,,,,,
測定間隔,10min,,,,,,,,,,,,,
測定点数,1010,,,,,,,,,,,,,
トリガ点,0,,,,,,,,,,,,,
開始時刻,2025/9/1,10:53:24,,,,,,,,,,,,
終了時刻,2025/9/8,11:04:18,,,,,,,,,,,,
トリガ時刻,2025/9/1,10:54:18,,,,,,,,,,,,
AC Mode, AC1_2, AC1_2,,,,,,,,,,,,
Logic/Pulse,Off,Off,,,,,,,,,,,,
アンプ設定,,,,,,,,,,,,,,
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,,,,,
CH1,CH 1,M,DC,1-5V,,20,80,-20,゜C,,,,,
CH2,CH 2,M,DC,1-5V,,20,100,0,%,,,,,
CH3,CH 3,M,DC,2V,,20,40,-60,゜C,,,,,
CH4,CH 4,M,DC,2V,,20,50,-50,%,,,,,
CH5,CH 5,M,DC,100mV,,20,1250,-1250,W/m2,,,,,
CH6,CH 6,M,DC,100V,,20,50,-50,V,,,,,
CH7,CH 7,M,DC,100V,,20,50,-50,V,,,,,
CH8,CH 8,M,DC,100V,,20,50,-50,V,,,,,
CH9,CH 9,M,DC,100V,,20,50,-50,V,,,,,
CH10,CH10,M,DC,100V,,20,70,-30,V,,,,,
測定値,,,,,,,,,,,,,,
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025/9/1 10:54,0,35.225,55.075,38.46,25.56,196.1,0.01,0,0.01,0,0,LLLLLLLLLL,LLLLL
2,2025/9/1 11:04,0,35.781,52.8,38.65,25.55,185.4,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
3,2025/9/1 11:14,0,34.931,55.406,38.44,25.45,192.6,0,0,0,0,0,LLLLLLLLLL,LLLLL
4,2025/9/1 11:24,0,35.881,52.162,38.535,25.47,214.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
5,2025/9/1 11:34,0,35.119,52.469,38.53,25.28,215.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
6,2025/9/1 11:44,0,35.844,52.737,38.47,25.3,214.8,0,0,0,0,0.01,LLLLLLLLLL,LLLLL
7,2025/9/1 11:54,0,36.956,50.862,38.535,25.31,222,0,0,0,0,0,LLLLLLLLLL,LLLLL
8,2025/9/1 12:04,0,36.425,47.825,37.345,28.65,227,0,0,0,0,0,LLLLLLLLLL,LLLLL
9,2025/9/1 12:14,0,36.7,50.031,36.32,32.95,227,0,0,0,0,0,LLLLLLLLLL,LLLLL
10,2025/9/1 12:24,0,36.987,50.138,35.81,33.36,228,0,0,0,0,0,LLLLLLLLLL,LLLLL
11,2025/9/1 12:34,0,36.744,48.219,34.905,33.47,229.6,0,0,-0.01,0,0,LLLLLLLLLL,LLLLL
12,2025/9/1 12:44,0,36.9,48.7,34.01,33.52,228.4,0,0,0,-0.01,0,LLLLLLLLLL,LLLLL
13,2025/9/1 12:54,0,36.731,46.925,33.125,33.5,230.6,0,-0.01,0,-0.01,0,LLLLLLLLLL,LLLLL
14,2025/9/1 13:04,0,36.325,48.194,32.26,33.58,228.5,0,0,0,0,-0.01,LLLLLLLLLL,LLLLL
15,2025/9/1 13:14,0,36.4,48.713,31.525,33.59,218.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
16,2025/9/1 13:24,0,36.756,48.869,30.94,33.6,209.4,-0.01,-0.01,0,0,0,LLLLLLLLLL,LLLLL
17,2025/9/1 13:34,0,36.906,48.094,30.455,33.76,245,0,-0.01,0,0,0,LLLLLLLLLL,LLLLL
18,2025/9/1 13:44,0,36.638,48.306,30.065,32.88,293.6,-0.01,0,-0.01,0,0,LLLLLLLLLL,LLLLL
19,2025/9/1 13:54,0,36.888,50.394,31.595,32.15,295.6,0,-0.01,0,0,0,LLLLLLLLLL,LLLLL
20,2025/9/1 14:04,0,36.544,47.506,32.85,31.94,288.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
21,2025/9/1 14:14,0,35.756,50.713,33.445,31.81,281.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
22,2025/9/1 14:24,0,36.031,50.75,33.825,31.56,271,0,0,0,0,0,LLLLLLLLLL,LLLLL
23,2025/9/1 14:34,0,36.225,49.488,34.22,31.32,260.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
24,2025/9/1 14:44,0,36.044,50.281,34.52,31.25,247.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
25,2025/9/1 14:54,0,35.912,50.3,34.705,31.08,237.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
26,2025/9/1 15:04,0,35.556,51.431,34.765,31,221.4,0,0,0,0,0,LLLLLLLLLL,LLLLL
27,2025/9/1 15:14,0,35.494,52.487,34.84,30.93,172.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
28,2025/9/1 15:24,0,35.112,54.65,34.915,30.84,161.4,0,0.01,0,0.01,0,LLLLLLLLLL,LLLLL
29,2025/9/1 15:34,0,35.244,53.731,34.835,30.78,175,0.01,0.01,0,0,0,LLLLLLLLLL,LLLLL
30,2025/9/1 15:44,0,34.806,56.213,34.765,30.6,159.8,0,0.01,0,0,0.01,LLLLLLLLLL,LLLLL
31,2025/9/1 15:54,0,34.269,57.163,34.59,30.69,131.6,0.01,0.01,0.01,0.01,0.01,LLLLLLLLLL,LLLLL
32,2025/9/1 16:04,0,34.225,57.687,34.51,30.59,119.4,-0.01,0,0,0,0,LLLLLLLLLL,LLLLL
33,2025/9/1 16:14,0,33.812,58.931,34.385,30.49,123.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
34,2025/9/1 16:24,0,33.806,59.575,34.31,30.51,110,0,0,0,0,0,LLLLLLLLLL,LLLLL
35,2025/9/1 16:34,0,33.312,59.894,34.19,30.42,93.8,0,0,0,0,0,LLLLLLLLLL,LLLLL
36,2025/9/1 16:44,0,33.013,60.75,34.065,30.33,66.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
37,2025/9/1 16:54,0,32.6,60.913,33.925,30.24,48,0,0,0,0,0,LLLLLLLLLL,LLLLL
38,2025/9/1 17:04,0,32.3,61.312,33.78,30.24,34.8,0,0,0,-0.01,0,LLLLLLLLLL,LLLLL
39,2025/9/1 17:14,0,31.9,61.812,33.595,30.2,21.1,-0.01,0,0,0,-0.01,LLLLLLLLLL,LLLLL
40,2025/9/1 17:24,0,31.444,62.144,33.395,30.14,13,0,0,0,0,0,LLLLLLLLLL,LLLLL
41,2025/9/1 17:34,0,31.162,62.269,33.245,30.14,9.9,0.01,0.01,0.01,0.01,0.01,LLLLLLLLLL,LLLLL
42,2025/9/1 17:44,0,30.856,62.4,33.055,30.06,7.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
43,2025/9/1 17:54,0,30.619,62.881,32.88,30.05,4.5,0,0,0,0,0,LLLLLLLLLL,LLLLL
44,2025/9/1 18:04,0,30.275,63.013,32.71,29.82,2.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
45,2025/9/1 18:14,0,29.969,63.375,32.515,29.81,1,0,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
46,2025/9/1 18:24,0,29.575,63.8,32.285,29.72,0.2,0,0,0,0,0,LLLLLLLLLL,LLLLL
47,2025/9/1 18:34,0,29.237,63.987,32.07,29.73,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
48,2025/9/1 18:44,0,29.006,64.05,31.895,29.7,0.1,0,0,0,0,0,LLLLLLLLLL,LLLLL
