ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1186        
トリガ点,0           
開始時刻,2025-09-08,11:22:06
終了時刻,2025-09-16,16:53:00
トリガ時刻,2025-09-08,11:23:00
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,゜C
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,゜C
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,゜C,%,゜C,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-09-08 11:23:00,000,+37.844,+45.200,+39.480,+28.430,+203.8,+0.00,+0.00,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
2,2025-09-08 11:33:00,000,+38.288,+43.056,+39.610,+28.270,+208.9,+0.00,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
3,2025-09-08 11:43:00,000,+38.850,+42.725,+39.680,+28.270,+209.0,+0.00,+0.00,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
4,2025-09-08 11:53:00,000,+38.075,+43.256,+39.610,+28.180,+213.0,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
5,2025-09-08 12:03:00,000,+37.763,+47.213,+39.435,+28.100,+217.8,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
6,2025-09-08 12:13:00,000,+38.431,+43.631,+39.350,+28.100,+221.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-09-08 12:23:00,000,+39.181,+42.131,+39.335,+28.030,+224.8,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
8,2025-09-08 12:33:00,000,+39.025,+41.656,+39.165,+27.860,+224.1,+0.00,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
9,2025-09-08 12:43:00,000,+39.506,+41.463,+37.920,+29.080,+219.6,+0.00,+0.00,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
10,2025-09-08 12:53:00,000,+39.375,+42.381,+38.430,+29.070,+225.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-09-08 13:03:00,000,+39.606,+41.369,+38.715,+29.080,+226.3,+0.00,+0.00,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
12,2025-09-08 13:13:00,000,+39.112,+40.825,+38.765,+28.980,+217.1,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
13,2025-09-08 13:23:00,000,+38.363,+45.831,+38.600,+28.890,+184.5,+0.01,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
14,2025-09-08 13:33:00,000,+37.344,+50.569,+38.330,+28.800,+267.2,+0.00,+0.00,+0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
15,2025-09-08 13:43:00,000,+37.031,+51.719,+38.165,+28.630,+283.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
16,2025-09-08 13:53:00,000,+37.337,+51.087,+38.205,+28.630,+279.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
17,2025-09-08 14:03:00,000,+37.487,+51.300,+38.380,+28.570,+266.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
18,2025-09-08 14:13:00,000,+37.150,+51.087,+38.475,+28.480,+251.4,-0.01,-0.01,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
19,2025-09-08 14:23:00,000,+37.412,+50.994,+38.370,+28.400,+248.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
20,2025-09-08 14:33:00,000,+37.006,+51.556,+38.345,+28.390,+236.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
21,2025-09-08 14:43:00,000,+36.837,+52.287,+38.175,+28.230,+215.6,+0.00,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
22,2025-09-08 14:53:00,000,+37.075,+52.325,+38.145,+28.220,+214.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
23,2025-09-08 15:03:00,000,+37.100,+52.162,+38.095,+28.140,+181.8,+0.00,-0.01,-0.01,+0.00,-0.01,LLLLLLLLLL,LLLLL
24,2025-09-08 15:13:00,000,+36.700,+52.963,+38.050,+28.150,+174.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-09-08 15:23:00,000,+36.644,+53.269,+37.785,+28.070,+157.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-09-08 15:33:00,000,+36.119,+54.400,+37.555,+28.000,+156.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-09-08 15:43:00,000,+36.175,+54.956,+37.345,+27.970,+146.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-09-08 15:53:00,000,+35.825,+55.238,+37.130,+27.810,+130.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
29,2025-09-08 16:03:00,000,+35.344,+56.344,+36.865,+27.820,+116.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
30,2025-09-08 16:13:00,000,+34.994,+59.650,+36.615,+27.780,+107.0,+0.00,+0.00,+0.01,+0.01,+0.00,LLLLLLLLLL,LLLLL
31,2025-09-08 16:23:00,000,+34.881,+57.981,+36.430,+27.720,+83.5,+0.00,+0.00,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
32,2025-09-08 16:33:00,000,+34.281,+59.106,+36.185,+27.730,+74.1,+0.00,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
33,2025-09-08 16:43:00,000,+33.450,+60.263,+35.845,+27.620,+11.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
34,2025-09-08 16:53:00,000,+32.556,+61.231,+35.455,+27.610,+8.4,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
35,2025-09-08 17:03:00,000,+31.838,+61.944,+35.150,+27.520,+9.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
36,2025-09-08 17:13:00,000,+31.325,+62.263,+34.825,+27.520,+17.8,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
37,2025-09-08 17:23:00,000,+31.113,+62.575,+34.555,+27.530,+10.6,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
38,2025-09-08 17:33:00,000,+30.819,+62.931,+34.225,+27.360,+5.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
39,2025-09-08 17:43:00,000,+30.431,+63.388,+33.925,+27.350,+2.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
40,2025-09-08 17:53:00,000,+30.194,+63.831,+33.655,+27.350,+2.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
41,2025-09-08 18:03:00,000,+29.875,+64.025,+33.475,+27.340,+1.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
42,2025-09-08 18:13:00,000,+29.581,+64.125,+33.285,+27.260,+0.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
43,2025-09-08 18:23:00,000,+29.375,+64.194,+33.120,+27.260,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
44,2025-09-08 18:33:00,000,+29.106,+64.206,+32.915,+27.170,+0.1,+0.00,+0.00,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
45,2025-09-08 18:43:00,000,+28.838,+64.325,+32.675,+27.180,+0.0,-0.01,-0.01,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
46,2025-09-08 18:53:00,000,+28.544,+65.156,+32.485,+27.090,+0.0,-0.01,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
47,2025-09-08 19:03:00,000,+28.288,+65.725,+32.245,+27.100,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
48,2025-09-08 19:13:00,000,+28.175,+66.138,+32.010,+27.010,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
49,2025-09-08 19:23:00,000,+28.000,+66.287,+31.815,+26.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
50,2025-09-08 19:33:00,000,+27.937,+66.569,+31.640,+26.940,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
51,2025-09-08 19:43:00,000,+27.788,+65.919,+31.510,+26.930,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
52,2025-09-08 19:53:00,000,+27.669,+65.706,+31.385,+26.850,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
53,2025-09-08 20:03:00,000,+27.556,+66.075,+31.190,+26.840,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
54,2025-09-08 20:13:00,000,+27.500,+67.525,+31.025,+26.840,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
55,2025-09-08 20:23:00,000,+27.394,+66.994,+30.875,+26.770,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
56,2025-09-08 20:33:00,000,+27.194,+66.506,+30.785,+26.770,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
57,2025-09-08 20:43:00,000,+27.156,+66.919,+30.660,+26.770,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
58,2025-09-08 20:53:00,000,+27.119,+67.212,+30.520,+26.770,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
59,2025-09-08 21:03:00,000,+27.050,+68.131,+30.365,+26.690,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
60,2025-09-08 21:13:00,000,+26.906,+68.319,+30.225,+26.690,+0.2,+0.00,+0.01,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
61,2025-09-08 21:23:00,000,+26.919,+68.287,+30.185,+26.680,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
62,2025-09-08 21:33:00,000,+26.850,+68.306,+30.065,+26.680,+0.0,+0.00,+0.01,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
63,2025-09-08 21:43:00,000,+26.756,+68.388,+29.980,+26.680,+0.0,+0.00,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
64,2025-09-08 21:53:00,000,+26.744,+68.819,+29.860,+26.590,+0.0,-0.01,+0.00,+0.00,-0.01,+0.00,LLLLLLLLLL,LLLLL
65,2025-09-08 22:03:00,000,+26.731,+69.019,+29.795,+26.590,+0.1,-0.01,+0.00,-0.01,-0.01,+0.00,LLLLLLLLLL,LLLLL
