ベンダ,GRAPHTEC Corporation
モデル,GL240
ファームウェア,Ver1.54
ソフトウェア, "Ver1.25"
最大CH数,10CH
GS開始CH
WL開始CH,10CH
測定間隔,10min
測定点数,1301        
トリガ点,0           
開始時刻,2025-11-17,15:32:56
終了時刻,2025-11-26,16:13:05
トリガ時刻,2025-11-17,15:33:05
AC Mode, AC1_2, AC1_2
Logic/Pulse,Off,Off
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位
CH1,CH 1,M,DC,1-5V,,20,80.000000,-20.000000,ﾟC
CH2,CH 2,M,DC,1-5V,,20,100.000000,0.000000,%
CH3,CH 3,M,DC,2V,,20,40.000000,-60.000000,ﾟC
CH4,CH 4,M,DC,2V,,20,50.000000,-50.000000,%
CH5,CH 5,M,DC,100mV,,20,1250.000000,-1250.000000,W/m2
CH6,CH 6,M,DC,100V,,20,50.000000,-50.000000,V
CH7,CH 7,M,DC,100V,,20,50.000000,-50.000000,V
CH8,CH 8,M,DC,100V,,20,50.000000,-50.000000,V
CH9,CH 9,M,DC,100V,,20,50.000000,-50.000000,V
CH10,CH10,M,DC,100V,,20,70.000000,-30.000000,V
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,AlarmOut
NO.,Time,ms,ﾟC,%,ﾟC,%,W/m2,V,V,V,V,V,A1234567890,A123456789
1,2025-11-17 15:33:05,000,+21.750,+42.000,+21.120,+23.280,+32.1,+0.00,+0.01,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLL
2,2025-11-17 15:43:05,000,+21.350,+43.787,+21.070,+23.300,+19.2,+0.00,+0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
3,2025-11-17 15:53:05,000,+20.819,+45.425,+20.990,+23.350,+6.9,-0.01,-0.01,+0.00,+0.00,-0.01,LLLLLLLLLL,LLLLL
4,2025-11-17 16:03:05,000,+20.094,+55.338,+20.945,+23.340,+5.5,+0.00,+0.01,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
5,2025-11-17 16:13:05,000,+19.344,+62.687,+20.855,+23.480,+4.2,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
6,2025-11-17 16:23:05,000,+18.750,+64.256,+20.790,+23.460,+2.9,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
7,2025-11-17 16:33:05,000,+18.138,+64.838,+20.735,+23.360,+1.5,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
8,2025-11-17 16:43:05,000,+17.594,+65.325,+20.605,+23.480,+0.6,+0.00,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
9,2025-11-17 16:53:05,000,+17.125,+65.406,+20.445,+23.480,+0.1,+0.01,+0.01,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLL
10,2025-11-17 17:03:05,000,+16.713,+65.519,+20.355,+23.480,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
11,2025-11-17 17:13:05,000,+16.262,+67.062,+20.195,+23.480,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
12,2025-11-17 17:23:05,000,+15.806,+68.212,+20.040,+23.440,+0.0,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
13,2025-11-17 17:33:05,000,+15.381,+69.306,+19.900,+23.350,+0.1,+0.00,+0.00,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLL
14,2025-11-17 17:43:05,000,+15.031,+74.500,+19.755,+23.300,+0.1,+0.01,+0.01,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
15,2025-11-17 17:53:05,000,+14.637,+74.506,+19.575,+23.300,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
16,2025-11-17 18:03:05,000,+14.206,+74.869,+19.385,+23.220,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
17,2025-11-17 18:13:05,000,+13.906,+75.181,+19.225,+23.210,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
18,2025-11-17 18:23:05,000,+13.712,+75.425,+19.060,+23.220,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
19,2025-11-17 18:33:05,000,+13.588,+75.312,+18.940,+23.210,+0.1,-0.01,-0.01,-0.01,-0.01,-0.01,LLLLLLLLLL,LLLLL
20,2025-11-17 18:43:05,000,+13.350,+75.400,+18.785,+23.200,+0.1,+0.01,+0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
21,2025-11-17 18:53:05,000,+13.125,+75.513,+18.670,+23.190,+0.2,+0.00,+0.01,+0.00,+0.00,+0.01,LLLLLLLLLL,LLLLL
22,2025-11-17 19:03:05,000,+12.875,+75.556,+18.520,+23.150,+0.0,+0.00,+0.00,+0.00,-0.01,-0.01,LLLLLLLLLL,LLLLL
23,2025-11-17 19:13:05,000,+12.675,+75.775,+18.360,+23.120,+0.1,+0.00,+0.00,-0.01,+0.00,+0.00,LLLLLLLLLL,LLLLL
24,2025-11-17 19:23:05,000,+12.525,+75.894,+18.240,+23.120,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
25,2025-11-17 19:33:05,000,+12.375,+75.944,+18.085,+23.120,+0.1,+0.00,-0.01,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
26,2025-11-17 19:43:05,000,+12.237,+75.994,+17.925,+23.120,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
27,2025-11-17 19:53:05,000,+12.100,+76.081,+17.815,+23.080,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
28,2025-11-17 20:03:05,000,+11.937,+76.106,+17.655,+23.060,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
29,2025-11-17 20:13:05,000,+11.850,+76.250,+17.485,+23.080,+0.0,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
30,2025-11-17 20:23:05,000,+11.812,+76.344,+17.355,+23.030,+0.1,+0.00,+0.00,+0.00,+0.00,+0.00,LLLLLLLLLL,LLLLL
