収穫ID,収穫日,企業名,収穫野菜名,収穫量（ｇ）
1,2025/8/18,牧野フライス/  葉物野菜,チャイブ,140
2,2025/8/18,牧野フライス,BLレッドオーク,160
3,2025/8/18,日本ファブテック,BLレッドオーク,320
4,2025/8/18,日本ファブテック/加工BL,加工BL,140
5,2025/8/18,サンセイランディック,BLグリーンオーク,280
6,2025/8/18,サンセイランディック/加工BL,加工BL,80
7,2025/8/18,サンセイランディック/葉物野菜,ネギ,280
8,2025/8/18,イソップ,BLグリーンオーク,260
9,2025/8/18,昭和女子,BLロログリーン,"1,300"
10,2025/8/18,昭和女子,BLピノグリーン,340
11,2025/8/18,昭和女子/加工BL,加工BL,180
12,2025/8/18,QB/加工BL,加工BL,400
13,2025/8/18,QB,BLグリーンオーク,"1,060"
14,2025/8/18,QB,BLピノグリーン,820
15,2025/8/18,バリュエンス,BLグリーンオーク,"1,300"
16,2025/8/18,バリュエンス,BLロロロッサ,"1,160"
17,2025/8/18,バリュエンス/加工BL,加工BL,200
18,2025/8/18,バリュエンス,BLレッドオーク,360
19,2025/8/18,Adobe,BLレッドオーク,860
20,2025/8/18,NaITO/加工BL,加工BL,120
21,2025/8/18,NaITO,BLロロロッサ,300
22,2025/8/18,富士機材,BLロログリーン,620
23,2025/8/18,東レ/加工BL,加工BL,140
24,2025/8/18,東レ,BLグリーンオーク,480
25,2025/8/18,マルテー,BLレッドオーク,160
26,2025/8/18,ソリトン/葉物野菜,ブロッコリースプラウト,460
27,2025/8/18,ソリトン,BLロログリーン,"1,220"
28,2025/8/18,ソリトン/加工BL,加工BL,180
29,2025/8/18,ケイアイ,BLレッドオーク,"1,080"
30,2025/8/18,ケイアイ/葉物野菜,ブロッコリースプラウト,"1,120"
31,2025/8/18,岡部,BLグリーンオーク,"1,560"
32,2025/8/18,三和,BLグリーンオーク,"2,240"
33,2025/8/18,慈誠会,BLロロロッサ,760
34,2025/8/18,富士機械,BLピノグリーン,"1,080"
35,2025/8/18,サンテレホン,BLロログリーン,780
36,2025/8/18,サンテレホン,BLピノグリーン,"1,700"
