収穫日,企業名,収穫野菜名,収穫量（ｇ）
2025/9/22,牧野フライス,BLグリーンオーク,100
2025/9/22,日本ファブテック,BLグリーンオーク,160
2025/9/22,イソップ,BLグリーンオーク,240
2025/9/22,サンセイランディック,BLグリーンオーク,280
2025/9/22,サンセイランディック/加工BL,加工BL,60
2025/9/22,昭和女子,BLグリーンオーク,900
2025/9/22,昭和女子,BLロログリーン,660
2025/9/22,昭和女子/加工BL,加工BL,240
2025/9/22,QB/加工BL,加工BL,160
2025/9/22,QB,BLグリーンオーク,200
2025/9/22,QB,BLピノグリーン,380
2025/9/22,バリュエンス/加工BL,加工BL,600
2025/9/22,バリュエンス,BLロログリーン,80
2025/9/22,バリュエンス,BLロロロッサ,520
2025/9/22,バリュエンス,BLグリーンオーク,120
2025/9/22,バリュエンス/葉物野菜,ブロッコリースプラウト,880
2025/9/22,Adobe,BLロログリーン,180
2025/9/22,Adobe,BLレッドオーク,180
2025/9/22,富士機材,BLロログリーン,940
2025/9/22,NaITO,BLロロロッサ,260
2025/9/22,NaITO/加工BL,加工BL,200
2025/9/22,マルテー,BLピノグリーン,260
2025/9/22,ケイアイ/加工BL,加工BL,200
2025/9/22,ケイアイ,BLレッドオーク,360
2025/9/22,岡部,BLレッドオーク,420
2025/9/22,三和,BLグリーンオーク,1600
2025/9/22,慈誠会,BLピノグリーン,2260
2025/9/22,富士機械,BLピノグリーン,1210
2025/9/22,IDAJ,BLピノグリーン,3180
2025/9/22,IDAJ,BLロログリーン,100
2025/9/22,サンテレホン,BLグリーンオーク,380
2025/9/22,サンテレホン,BLピノグリーン,1060
2025/9/22,日建/ミニトマト,ミニトマト,3020
2025/9/24,牧野フライス,BLレッドオーク,100
2025/9/24,牧野フライス,BLグリーンオーク,220
2025/9/24,日本ファブテック,BLグリーンオーク,140
2025/9/24,東レ,BLレッドオーク,300
2025/9/24,東レ/加工BL,加工BL,60
2025/9/24,イソップ,BLグリーンオーク,240
2025/9/24,サンセイランディック,BLグリーンオーク,300
2025/9/24,サンセイランディック/加工BL,加工BL,40
2025/9/24,昭和女子,BLグリーンオーク,620
2025/9/24,昭和女子,BLロログリーン,320
2025/9/24,昭和女子/葉物野菜,パセリ,260
2025/9/24,QB,BLグリーンオーク,200
2025/9/24,QB,BLピノグリーン,220
2025/9/24,QB/加工BL,加工BL,280
2025/9/24,バリュエンス,BLロロロッサ,600
2025/9/24,バリュエンス/加工BL,加工BL,320
2025/9/24,バリュエンス,BLグリーンオーク,80
2025/9/24,Adobe,BLロログリーン,420
2025/9/24,Adobe,BLレッドオーク,100
2025/9/24,富士機材,BLロログリーン,1000
2025/9/24,NaITO,BLロロロッサ,360
2025/9/24,NaITO/加工BL,加工BL,460
2025/9/24,ソリトン/葉物野菜,ブロッコリースプラウト,1900
2025/9/24,ソリトン,BLロログリーン,1240
2025/9/24,ケイアイ/葉物野菜,ブロッコリースプラウト,900
2025/9/24,東レ,BLグリーンオーク,420
2025/9/24,岡部,BLレッドオーク,2060
2025/9/24,三和,BLグリーンオーク,1980
2025/9/24,慈誠会,BLロロロッサ,3960
2025/9/24,富士機械,BLロロロッサ,1800
2025/9/24,IDAJ/加工BL,加工BL,500
2025/9/24,IDAJ,BLグリーンオーク,120
2025/9/24,日建/ミニトマト,ミニトマト,1600
2025/9/24,日建/葉物野菜,島唐辛子,700
2025/9/24,日建,BLロログリーン,160
2025/9/24,日建,BLロロロッサ,360
2025/9/24,日建/加工BL,加工BL,320
2025/9/25,東レ,BLレッドオーク,340
2025/9/25,東レ/加工BL,加工BL,40
2025/9/25,Adobe,BLレッドオーク,140
2025/9/25,マルテー,BLピノグリーン,240
2025/9/25,慈誠会,BLロロロッサ,200
2025/9/25,富士機械,BLロロロッサ,1860
2025/9/25,富士機械,BLピノグリーン,820
2025/9/25,慈誠会,BLピノグリーン,220
2025/9/25,IDAJ,BLピノグリーン,240
2025/9/25,日建/葉物野菜,島唐辛子,140
2025/9/26,東レ,BLレッドオーク,100
2025/9/26,東レ,BLロロロッサ,340
2025/9/26,昭和女子,BLロログリーン,520
2025/9/26,昭和女子,BLグリーンオーク,80
2025/9/26,QB,BLグリーンオーク,120
2025/9/26,QB,BLピノグリーン,160
2025/9/26,QB/加工BL,加工BL,200
2025/9/26,富士機材,BLロログリーン,440
2025/9/26,NaITO,BLロロロッサ,120
2025/9/26,NaITO/加工ＢＬ,加工ＢＬ,140
2025/9/26,バリュエンス,BLロロロッサ,120
2025/9/26,バリュエンス/加工BL,加工BL,80
2025/9/26,ソリトン/葉物野菜,ブロッコリースプラウト,1460
2025/9/26,ケイアイ,BLレッドオーク,660
2025/9/26,岡部,BLレッドオーク,1000
2025/9/26,三和,BLグリーンオーク,480
2025/9/26,IDAJ,BLピノグリーン,220
2025/9/26,サンテレホン,BLピノグリーン,1560
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
